USV,new_name,ps_name,glyph_name
0021,exclam,exclam,ExclamationMrk
0022,quotedbl,quotedbl,QuotMrk
0023,numbersign,numbersign,NumSgn
0024,dollar,dollar,DollarSgn
0025,percent,percent,PercentSgn
0026,ampersand,ampersand,Ampersand
0027,quotesingle,quotesingle,Apos
0028,parenleft,parenleft,LftParen
0029,parenright,parenright,RtParen
002A,asterisk,asterisk,Asterisk
002B,plus,plus,PlusSgn
002C,comma,comma,Comma
002D,hyphen,hyphen,HyphenMinus
002E,period,period,FullStop
002F,slash,slash,Solidus
0030,zero,zero,DigitZero
0031,one,one,DigitOne
0032,two,two,DigitTwo
0033,three,three,DigitThree
0034,four,four,DigitFour
0035,five,five,DigitFive
0036,six,six,DigitSix
0037,seven,seven,DigitSeven
0038,eight,eight,DigitEight
0039,nine,nine,DigitNine
003A,colon,colon,Colon
003B,semicolon,semicolon,Semicolon
003C,less,less,LTSgn
003D,equal,equal,EqSgn
003E,greater,greater,GTSgn
003F,question,question,QstnMrk
0040,at,at,AtSgn
0041,A,A,LtnCapA
0042,B,B,LtnCapB
0043,C,C,LtnCapC
0044,D,D,LtnCapD
0045,E,E,LtnCapE
0046,F,F,LtnCapF
0047,G,G,LtnCapG
0048,H,H,LtnCapH
0049,I,I,LtnCapI
004A,J,J,LtnCapJ
004B,K,K,LtnCapK
004C,L,L,LtnCapL
004D,M,M,LtnCapM
004E,N,N,LtnCapN
004F,O,O,LtnCapO
0050,P,P,LtnCapP
0051,Q,Q,LtnCapQ
0052,R,R,LtnCapR
0053,S,S,LtnCapS
0054,T,T,LtnCapT
0055,U,U,LtnCapU
0056,V,V,LtnCapV
0057,W,W,LtnCapW
0058,X,X,LtnCapX
0059,Y,Y,LtnCapY
005A,Z,Z,LtnCapZ
005B,bracketleft,bracketleft,LftSqrBrac
005C,backslash,backslash,ReverseSolidus
005D,bracketright,bracketright,RtSqrBrac
005E,asciicircum,asciicircum,CircumAccent
005F,underscore,underscore,LowLine
0060,grave,grave,GraveAccent
0061,a,a,LtnSmA
0062,b,b,LtnSmB
0063,c,c,LtnSmC
0064,d,d,LtnSmD
0065,e,e,LtnSmE
0066,f,f,LtnSmF
0067,g,g,LtnSmG
0068,h,h,LtnSmH
0069,i,i,LtnSmI
006A,j,j,LtnSmJ
006B,k,k,LtnSmK
006C,l,l,LtnSmL
006D,m,m,LtnSmM
006E,n,n,LtnSmN
006F,o,o,LtnSmO
0070,p,p,LtnSmP
0071,q,q,LtnSmQ
0072,r,r,LtnSmR
0073,s,s,LtnSmS
0074,t,t,LtnSmT
0075,u,u,LtnSmU
0076,v,v,LtnSmV
0077,w,w,LtnSmW
0078,x,x,LtnSmX
0079,y,y,LtnSmY
007A,z,z,LtnSmZ
007B,braceleft,braceleft,LftCurlyBrac
007C,bar,bar,VertLine
007D,braceright,braceright,RtCurlyBrac
007E,asciitilde,asciitilde,Tilde
00A1,exclamdown,exclamdown,InvExclamationMrk
00A2,cent,cent,CentSgn
00A3,sterling,sterling,PoundSgn
00A4,currency,currency,CurrSgn
00A5,yen,yen,YenSgn
00A6,brokenbar,brokenbar,BrokenBar
00A7,section,section,SectionSgn
00A8,dieresis,dieresis,Diaer
00A9,copyright,copyright,CopyrightSgn
00AA,ordfeminine,ordfeminine,FemOrdIndicator
00AB,guillemetleft,guillemotleft,LftPtngDblAngQuotMrk
00AC,logicalnot,logicalnot,NotSgn
00AD,softhyphen,uni00AD,Hyphen_Soft
00AE,registered,registered,RegisteredSgn
00AF,macron,macron,Macron
00B0,degree,degree,DegreeSgn
00B1,plusminus,plusminus,PlusMinusSgn
00B2,twosuperior,twosuperior,SupTwo
00B3,threesuperior,threesuperior,SupThree
00B4,acute,acute,AcuteAccent
00B5,micro,mu,MicroSgn
00B6,paragraph,paragraph,PilcrowSgn
00B7,periodcentered,periodcentered,MiddleDot
00B8,cedilla,cedilla,Cedilla
00B9,onesuperior,onesuperior,SupOne
00BA,ordmasculine,ordmasculine,MascOrdIndicator
00BB,guillemetright,guillemotright,RtPtngDblAngQuotMrk
00BC,onequarter,onequarter,VulgFracOneQuarter
00BD,onehalf,onehalf,VulgFracOneHalf
00BE,threequarters,threequarters,VulgFracThreeQuarters
00BF,questiondown,questiondown,InvQstnMrk
00C0,Agrave,Agrave,LtnCapAGrave
00C1,Aacute,Aacute,LtnCapAAcute
00C2,Acircumflex,Acircumflex,LtnCapACircum
00C3,Atilde,Atilde,LtnCapATilde
00C4,Adieresis,Adieresis,LtnCapADiaer
00C5,Aring,Aring,LtnCapARingAbv
00C6,AE,AE,LtnCapAe
00C7,Ccedilla,Ccedilla,LtnCapCCedilla
00C8,Egrave,Egrave,LtnCapEGrave
00C9,Eacute,Eacute,LtnCapEAcute
00CA,Ecircumflex,Ecircumflex,LtnCapECircum
00CB,Edieresis,Edieresis,LtnCapEDiaer
00CC,Igrave,Igrave,LtnCapIGrave
00CD,Iacute,Iacute,LtnCapIAcute
00CE,Icircumflex,Icircumflex,LtnCapICircum
00CF,Idieresis,Idieresis,LtnCapIDiaer
00D0,Eth,Eth,LtnCapEth
00D1,Ntilde,Ntilde,LtnCapNTilde
00D2,Ograve,Ograve,LtnCapOGrave
00D3,Oacute,Oacute,LtnCapOAcute
00D4,Ocircumflex,Ocircumflex,LtnCapOCircum
00D5,Otilde,Otilde,LtnCapOTilde
00D6,Odieresis,Odieresis,LtnCapODiaer
00D7,multiply,multiply,MultSgn
00D8,Oslash,Oslash,LtnCapOStrk
00D9,Ugrave,Ugrave,LtnCapUGrave
00DA,Uacute,Uacute,LtnCapUAcute
00DB,Ucircumflex,Ucircumflex,LtnCapUCircum
00DC,Udieresis,Udieresis,LtnCapUDiaer
00DD,Yacute,Yacute,LtnCapYAcute
00DE,Thorn,Thorn,LtnCapThorn
00DF,germandbls,germandbls,LtnSmSharpS
00E0,agrave,agrave,LtnSmAGrave
00E1,aacute,aacute,LtnSmAAcute
00E2,acircumflex,acircumflex,LtnSmACircum
00E3,atilde,atilde,LtnSmATilde
00E4,adieresis,adieresis,LtnSmADiaer
00E5,aring,aring,LtnSmARingAbv
00E6,ae,ae,LtnSmAe
00E7,ccedilla,ccedilla,LtnSmCCedilla
00E8,egrave,egrave,LtnSmEGrave
00E9,eacute,eacute,LtnSmEAcute
00EA,ecircumflex,ecircumflex,LtnSmECircum
00EB,edieresis,edieresis,LtnSmEDiaer
00EC,igrave,igrave,LtnSmIGrave
00ED,iacute,iacute,LtnSmIAcute
00EE,icircumflex,icircumflex,LtnSmICircum
00EF,idieresis,idieresis,LtnSmIDiaer
00F0,eth,eth,LtnSmEth
00F1,ntilde,ntilde,LtnSmNTilde
00F2,ograve,ograve,LtnSmOGrave
00F3,oacute,oacute,LtnSmOAcute
00F4,ocircumflex,ocircumflex,LtnSmOCircum
00F5,otilde,otilde,LtnSmOTilde
00F6,odieresis,odieresis,LtnSmODiaer
00F7,divide,divide,DivSgn
00F8,oslash,oslash,LtnSmOStrk
00F9,ugrave,ugrave,LtnSmUGrave
00FA,uacute,uacute,LtnSmUAcute
00FB,ucircumflex,ucircumflex,LtnSmUCircum
00FC,udieresis,udieresis,LtnSmUDiaer
00FD,yacute,yacute,LtnSmYAcute
00FE,thorn,thorn,LtnSmThorn
00FF,ydieresis,ydieresis,LtnSmYDiaer
0131,idotless,dotlessi,LtnSmDotlessI
0152,OE,OE,LtnCapLigOe
0153,oe,oe,LtnSmLigOe
0160,Scaron,Scaron,LtnCapSCaron
0161,scaron,scaron,LtnSmSCaron
0178,Ydieresis,Ydieresis,LtnCapYDiaer
017D,Zcaron,Zcaron,LtnCapZCaron
017E,zcaron,zcaron,LtnSmZCaron
0192,florin,florin,LtnSmFHook
02C6,circumflex,circumflex,ModCircumAccent
02C7,caron,caron,Caron
02D0,colontriangularmod,uni02D0,ModTriangularColon
02D8,breve,breve,Breve
02D9,dotaccent,dotaccent,DotAbv
02DA,ring,ring,RingAbv
02DB,ogonek,ogonek,Ogonek
02DC,tilde,tilde,SmTilde
02DD,hungarumlaut,hungarumlaut,DblAcuteAccent
034F,graphemejoinercomb,uni034F,CombGraphemeJoiner
03C0,pi,pi,GrSmPi
2010,hyphentwo,uni2010,Hyphen
2011,nonbreakinghyphen,uni2011,NonBreakingHyphen
2012,figuredash,figuredash,FigureDash
2013,endash,endash,EnDash
2014,emdash,emdash,EmDash
2015,horizontalbar,uni2015,HorizBar
2018,quoteleft,quoteleft,LftSglQuotMrk
2019,quoteright,quoteright,RtSglQuotMrk
201A,quotesinglbase,quotesinglbase,SglLow9QuotMrk
201C,quotedblleft,quotedblleft,LftDblQuotMrk
201D,quotedblright,quotedblright,RtDblQuotMrk
201E,quotedblbase,quotedblbase,DblLow9QuotMrk
2020,dagger,dagger,Dagger
2021,daggerdbl,daggerdbl,DblDagger
2022,bullet,bullet,Bullet
2026,ellipsis,ellipsis,HorizEllipsis
2027,hyphenationpoint,uni2027,HyphenationPt
2028,lineseparator,uni2028,LineSep
2029,paragraphseparator,uni2029,ParagraphSeparator
2030,perthousand,perthousand,PerMilleSgn
2039,guilsinglleft,guilsinglleft,SglLftPtngAngQuotMrk
203A,guilsinglright,guilsinglright,SglRtPtngAngQuotMrk
2044,fraction,fraction,FracSlash
20AC,euro,Euro,EuroSgn
2122,trademark,trademark,TradeMrkSgn
2126,Ohm,Omega,OhmSgn
2202,partialdiff,partialdiff,PartialDiff
2206,increment,Delta,Increment
220F,product,product,NAryProduct
2211,summation,summation,NArySummation
2219,bulletoperator,uni2219,BulletOperator
221A,radical,radical,SqrRoot
221E,infinity,infinity,Infinity
222B,integral,integral,Integral
2248,approxequal,approxequal,AlmostEqTo
2260,notequal,notequal,NotEqTo
2264,lessequal,lessequal,LTOrEqTo
2265,greaterequal,greaterequal,GTOrEqTo
25CA,lozenge,lozenge,Lozenge
FB01,fi,fi,LtnSmLigFi
FB02,fl,fl,LtnSmLigFl
FE00,VS1,uniFE00,VS1
FE01,VS2,uniFE01,VS2
FE02,VS3,uniFE02,VS3
FE03,VS4,uniFE03,VS4
FE04,VS5,uniFE04,VS5
FE05,VS6,uniFE05,VS6
FE06,VS7,uniFE06,VS7
FE07,VS8,uniFE07,VS8
FE08,VS9,uniFE08,VS9
FE09,VS10,uniFE09,VS10
FE0A,VS11,uniFE0A,VS11
FE0B,VS12,uniFE0B,VS12
FE0C,VS13,uniFE0C,VS13
FE0D,VS14,uniFE0D,VS14
FE0E,VS15,uniFE0E,VS15
FE0F,VS16,uniFE0F,VS16
FFFC,objectReplacementCharacter,uniFFFC,ObjectReplChar
FFFD,replacementCharacter,uniFFFD,ReplChar
,GrCapDelta,GrCapDelta,GrCapDelta
,CombTildeOverlay.Lrg,CombTildeOverlay.Lrg,CombTildeOverlay.Lrg
,CombOgonek,CombOgonek,CombOgonek
,CombBreve,CombBreve,CombBreve
